               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.027145,               0.014,            0.014739,             0.88593,             0.86146,             0.90625,             0.70098,            0.016108,             0.00468,           0.0030937,            0.007228,            0.007228,            0.007228
                  58,            0.026755,            0.013754,            0.014586,             0.87045,             0.86477,             0.90334,             0.69219,            0.016372,            0.004728,           0.0035558,           0.0071785,           0.0071785,           0.0071785
                  59,            0.026444,            0.013799,            0.013706,             0.89499,             0.86363,             0.91286,             0.70376,             0.01628,           0.0046279,           0.0037003,            0.007129,            0.007129,            0.007129
                  60,            0.026571,             0.01379,            0.013551,             0.87584,             0.87309,             0.90834,             0.69901,             0.01673,           0.0047366,           0.0032825,           0.0070795,           0.0070795,           0.0070795
                  61,            0.027267,            0.013963,            0.013726,             0.89558,             0.86192,              0.9072,             0.69987,            0.016696,           0.0047314,           0.0034061,             0.00703,             0.00703,             0.00703
                  62,            0.026938,            0.013645,            0.013713,             0.88195,              0.8745,             0.91865,             0.70986,            0.016447,           0.0046224,           0.0037149,           0.0069805,           0.0069805,           0.0069805
                  63,            0.026184,            0.013817,            0.013696,             0.88119,             0.86558,             0.91264,             0.70186,            0.016101,           0.0046326,           0.0034504,            0.006931,            0.006931,            0.006931
                  64,            0.026596,            0.013962,            0.015389,             0.88737,             0.86044,             0.90987,             0.70308,             0.01615,           0.0046682,           0.0035863,           0.0068815,           0.0068815,           0.0068815
                  65,            0.026798,            0.013595,            0.014583,             0.88726,             0.87844,             0.90918,              0.7009,            0.016382,           0.0046239,           0.0037726,            0.006832,            0.006832,            0.006832
                  66,            0.026838,            0.013987,            0.013927,             0.87533,             0.87091,             0.90959,             0.70542,            0.016213,           0.0045952,           0.0033254,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026513,             0.01366,            0.013434,             0.87347,              0.8734,             0.91093,             0.70611,            0.016068,           0.0046192,           0.0032367,            0.006733,            0.006733,            0.006733
                  68,            0.025624,            0.013698,            0.013611,             0.87484,             0.87765,             0.90646,             0.71005,            0.015985,           0.0045934,           0.0038363,           0.0066835,           0.0066835,           0.0066835
                  69,            0.025869,            0.013361,             0.01361,             0.88344,             0.87891,             0.90999,             0.70585,            0.015868,           0.0045785,           0.0033772,            0.006634,            0.006634,            0.006634
                  70,            0.026626,            0.013744,            0.013717,             0.88099,             0.88061,             0.91934,             0.71082,            0.016013,            0.004546,           0.0030264,           0.0065845,           0.0065845,           0.0065845
                  71,             0.02593,            0.013338,            0.012029,             0.87722,              0.8798,             0.91306,             0.71078,             0.01564,           0.0045418,           0.0030759,            0.006535,            0.006535,            0.006535
                  72,            0.026106,            0.013462,            0.012333,             0.88915,             0.88843,             0.92058,             0.71842,             0.01526,           0.0045182,           0.0026143,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026151,            0.013484,            0.012216,             0.89725,             0.87831,             0.92006,              0.7157,            0.015424,           0.0045016,           0.0029287,            0.006436,            0.006436,            0.006436
                  74,            0.026031,            0.013226,            0.012146,             0.90077,             0.87807,              0.9196,             0.71752,             0.01556,           0.0044847,            0.002785,           0.0063865,           0.0063865,           0.0063865
                  75,            0.025847,            0.013662,            0.012188,             0.88713,             0.87181,             0.91796,              0.7171,            0.015509,           0.0045307,           0.0025687,            0.006337,            0.006337,            0.006337
                  76,             0.02537,            0.013549,            0.013934,             0.88949,             0.87775,             0.91245,             0.71603,            0.015498,           0.0045968,           0.0023919,           0.0062875,           0.0062875,           0.0062875
                  77,            0.025927,             0.01333,            0.013014,             0.87586,             0.88108,             0.91185,             0.71026,            0.015347,           0.0046129,           0.0029079,            0.006238,            0.006238,            0.006238
                  78,            0.025279,            0.013365,            0.011479,             0.87998,             0.88588,             0.91181,             0.71403,            0.015577,           0.0045798,           0.0027696,           0.0061885,           0.0061885,           0.0061885
                  79,             0.02611,            0.013674,            0.013562,             0.87436,             0.88447,             0.91515,             0.71276,            0.015569,           0.0045541,           0.0038307,            0.006139,            0.006139,            0.006139
                  80,            0.025203,            0.013457,            0.012388,             0.88634,             0.88037,              0.9165,             0.71558,            0.015324,           0.0045306,           0.0028752,           0.0060895,           0.0060895,           0.0060895
                  81,            0.025805,            0.013514,              0.0106,             0.90549,             0.88399,             0.92239,             0.72354,            0.015376,           0.0044514,           0.0026157,             0.00604,             0.00604,             0.00604
                  82,            0.025156,            0.013394,            0.011784,             0.90407,             0.88058,             0.92192,             0.72084,            0.015387,           0.0044902,           0.0024723,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025149,             0.01317,            0.011979,             0.87368,              0.8895,             0.91401,              0.7164,            0.015512,           0.0044981,           0.0029603,            0.005941,            0.005941,            0.005941
                  84,            0.025028,            0.013423,            0.011944,             0.89339,             0.87551,             0.91249,             0.72049,            0.015502,           0.0044842,           0.0028878,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025485,            0.013192,            0.010922,             0.88481,              0.8872,             0.91796,             0.71877,            0.015435,           0.0045472,           0.0029384,            0.005842,            0.005842,            0.005842
                  86,             0.02534,             0.01329,            0.011383,             0.88922,             0.88161,             0.91769,             0.72287,            0.015539,            0.004481,           0.0036676,           0.0057925,           0.0057925,           0.0057925
